CD_CONTA;DS_CONTA;2019;2020;2021;2022;2023;2024
2.01.05.02.08;Contingências;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.02.09;Instrumentos Financeiros Derivativos;18025.0000000000;6472.0000000000;16058.0000000000;299465.0000000000;414825.0000000000;445094.0000000000
2.01.05.02.10;Receitas Diferidas;8116.0000000000;2616.0000000000;14077.0000000000;13653.0000000000;49775.0000000000;111766.0000000000
2.01.05.02.11;Garantia financeira e de valor residual;0.0000000000;221426.0000000000;88172.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.02.12;Passivos de contrato;2616393.0000000000;5368436.0000000000;6722137.0000000000;7664663.0000000000;9290401.0000000000;15873343.0000000000
2.01.05.02.13;Passivo de arrendamento;19977.0000000000;59385.0000000000;64233.0000000000;62369.0000000000;66616.0000000000;118753.0000000000
2.01.06;Provisões;415802.0000000000;512097.0000000000;608177.0000000000;660282.0000000000;555591.0000000000;558736.0000000000
2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;86092.0000000000;86651.0000000000;104080.0000000000;97820.0000000000;40516.0000000000;59713.0000000000
2.01.06.01.01;Provisões Fiscais;21371.0000000000;21878.0000000000;40672.0000000000;24329.0000000000;5128.0000000000;13792.0000000000
2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;64721.0000000000;64773.0000000000;63408.0000000000;73481.0000000000;35377.0000000000;38585.0000000000
2.01.06.01.03;Provisões para Benefícios a Empregados;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;7336.0000000000
2.01.06.01.04;Provisões Cíveis;0.0000000000;0.0000000000;0.0000000000;10.0000000000;11.0000000000;0.0000000000
2.01.06.02;Outras Provisões;329710.0000000000;425446.0000000000;504097.0000000000;562462.0000000000;515075.0000000000;499023.0000000000
2.01.06.02.01;Provisões para Garantias;96642.0000000000;140189.0000000000;178214.0000000000;152410.0000000000;131258.0000000000;154601.0000000000
2.01.06.02.02;Provisões para Reestruturação;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;835.0000000000;5630.0000000000;3172.0000000000;1497.0000000000;0.0000000000;0.0000000000
2.01.06.02.04;Outras Provisões;232233.0000000000;279627.0000000000;322711.0000000000;408555.0000000000;383817.0000000000;344422.0000000000
2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;20089148.0000000000;0.0000000000;251866.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;20089148.0000000000;0.0000000000;251866.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.07.02.01;Passivos mantidos para venda;;0.0000000000;251866.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02;Passivo Não Circulante;2305161.0000000000;26918732.0000000000;25398872.0000000000;21394800.0000000000;19740921.0000000000;25161794.0000000000
2.02.01;Empréstimos e Financiamentos;306757.0000000000;21163399.0000000000;19267688.0000000000;15103579.0000000000;13358392.0000000000;14720995.0000000000
2.02.01.01;Empréstimos e Financiamentos;306757.0000000000;21163399.0000000000;19267688.0000000000;15103579.0000000000;13358392.0000000000;14720995.0000000000
2.02.01.01.01;Em Moeda Nacional;122373.0000000000;370708.0000000000;55712.0000000000;20000.0000000000;83576.0000000000;145531.0000000000
2.02.01.01.02;Em Moeda Estrangeira;184384.0000000000;20792691.0000000000;19211976.0000000000;15083579.0000000000;13274816.0000000000;14575464.0000000000
2.02.01.02;Debêntures;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.01.03;Financiamento por Arrendamento;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02;Outras Obrigações;433652.0000000000;2396733.0000000000;2425092.0000000000;3456120.0000000000;3981213.0000000000;6312040.0000000000
2.02.02.01;Passivos com Partes Relacionadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.01.01;Débitos com Coligadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.01.03;Débitos com Controladores;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.02;Outros;433652.0000000000;2396733.0000000000;2425092.0000000000;3456120.0000000000;3981213.0000000000;6312040.0000000000
2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.02.03;Contas a Pagar;51319.0000000000;169653.0000000000;321592.0000000000;266807.0000000000;268180.0000000000;998237.0000000000
2.02.02.02.04;Contribuição de Parceiros;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.02.05;Dívidas com e sem Direito de Regresso;54977.0000000000;50423.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.02.06;Adiantamento de Clientes;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.02.07;Impostos e Encargos Sociais a Recolher;53841.0000000000;61540.0000000000;55855.0000000000;68666.0000000000;88540.0000000000;57054.0000000000
2.02.02.02.08;Instrumentos Financeiros Derivativos;0.0000000000;45061.0000000000;16740.0000000000;209406.0000000000;191125.0000000000;197722.0000000000
2.02.02.02.09;Garantia financeira e de valor residual;;429334.0000000000;16459.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.02.09;Garantias Financeiras;0.0000000000;429334.0000000000;;;;
2.02.02.02.10;Provisões para Contingências;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.02.02.11;Passivos de contrato;138243.0000000000;1363622.0000000000;1722481.0000000000;2582737.0000000000;3010648.0000000000;4465669.0000000000
2.02.02.02.12;Passivo de arrendamento;135272.0000000000;277100.0000000000;291965.0000000000;307772.0000000000;397840.0000000000;573429.0000000000
2.02.02.02.13;Imposto de renda e contribuição social;;;0.0000000000;20732.0000000000;24880.0000000000;19929.0000000000
2.02.03;Tributos Diferidos;1097408.0000000000;2466675.0000000000;2822810.0000000000;1933440.0000000000;1475262.0000000000;2788093.0000000000
2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;1097408.0000000000;2466675.0000000000;2822810.0000000000;1933440.0000000000;1475262.0000000000;2788093.0000000000
2.02.04;Provisões;402577.0000000000;593693.0000000000;672897.0000000000;783901.0000000000;840169.0000000000;1261217.0000000000
2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;228569.0000000000;346012.0000000000;415429.0000000000;396076.0000000000;474293.0000000000;407228.0000000000
2.02.04.01.01;Provisões Fiscais;68372.0000000000;69965.0000000000;82776.0000000000;79925.0000000000;100254.0000000000;50609.0000000000
2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;111523.0000000000;130079.0000000000;111795.0000000000;126759.0000000000;140734.0000000000;150537.0000000000
2.02.04.01.03;Provisões para Benefícios a Empregados;47057.0000000000;144975.0000000000;219881.0000000000;188240.0000000000;232287.0000000000;205259.0000000000
2.02.04.01.04;Provisões Cíveis;1617.0000000000;993.0000000000;977.0000000000;1152.0000000000;1018.0000000000;823.0000000000
2.02.04.02;Outras Provisões;174008.0000000000;247681.0000000000;257468.0000000000;387825.0000000000;365876.0000000000;853989.0000000000
2.02.04.02.01;Provisões para Garantias;173799.0000000000;243857.0000000000;254259.0000000000;252242.0000000000;222950.0000000000;333403.0000000000
2.02.04.02.02;Provisões para Reestruturação;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;209.0000000000;1532.0000000000;920.0000000000;501.0000000000;0.0000000000;0.0000000000
2.02.04.02.04;Outros;0.0000000000;2292.0000000000;2289.0000000000;;;
2.02.04.02.04;Provisão materiais de terceiros;;;0.0000000000;132027.0000000000;138298.0000000000;274612.0000000000
2.02.04.02.05;Outros;;;2289.0000000000;3055.0000000000;4628.0000000000;245974.0000000000
2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.06;Lucros e Receitas a Apropriar;64767.0000000000;298232.0000000000;210385.0000000000;117760.0000000000;85885.0000000000;79449.0000000000
2.02.06.01;Lucros a Apropriar;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.02.06.02;Receitas a Apropriar;64767.0000000000;298232.0000000000;210385.0000000000;117760.0000000000;85885.0000000000;79449.0000000000
2.02.06.02.01;Receitas diferidas;;;210385.0000000000;117760.0000000000;85885.0000000000;79449.0000000000
2.02.06.03;Subvenções de Investimento a Apropriar;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03;Patrimônio Líquido Consolidado;14569552.0000000000;15272715.0000000000;15484552.0000000000;14736781.0000000000;14714230.0000000000;20710908.0000000000
2.03.01;Capital Social Realizado;5159617.0000000000;5159617.0000000000;5159617.0000000000;5159617.0000000000;5159617.0000000000;5159617.0000000000
2.03.02;Reservas de Capital;3494.0000000000;5316.0000000000;-8163.0000000000;385560.0000000000;474155.0000000000;750979.0000000000
2.03.02.01;Ágio na Emissão de Ações;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.02.02;Reserva Especial de Ágio na Incorporação;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.02.03;Alienação de Bônus de Subscrição;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.02.04;Opções Outorgadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.02.05;Ações em Tesouraria;-75446.0000000000;-73624.0000000000;-87103.0000000000;-87103.0000000000;-87103.0000000000;-87103.0000000000
2.03.02.06;Adiantamento para Futuro Aumento de Capital;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.02.07;Remuneração baseada em ações;78940.0000000000;78940.0000000000;78940.0000000000;94386.0000000000;116381.0000000000;139962.0000000000
2.03.02.08;Resultado nas operações com acionistas não controladores;;;-129360.0000000000;378277.0000000000;444877.0000000000;698120.0000000000
2.03.03;Reservas de Reavaliação;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04;Reservas de Lucros;2595445.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;274354.0000000000
2.03.04.01;Reserva Legal;433493.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;16289.0000000000
2.03.04.02;Reserva Estatutária;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.03;Reserva para Contingências;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.04;Reserva de Lucros a Realizar;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.05;Reserva de Retenção de Lucros;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.06;Reserva Especial para Dividendos Não Distribuídos;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.07;Reserva de Incentivos Fiscais;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.08;Dividendo Adicional Proposto;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.09;Ações em Tesouraria;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.10;Subvenção para Investimentos;103776.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;103776.0000000000
2.03.04.11;Reservas para Investimentos e Capital de Giro;2058176.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;154289.0000000000
2.03.04.12;Remuneração Baseada em Ações;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.04.13;Resultado nas operações com acionistas não controladores;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.05;Lucros/Prejuízos Acumulados;0.0000000000;-1020962.0000000000;-1422969.0000000000;-2376625.0000000000;-1593066.0000000000;0.0000000000
2.03.06;Ajustes de Avaliação Patrimonial;6420419.0000000000;10543540.0000000000;11158646.0000000000;10228138.0000000000;9449606.0000000000;12860256.0000000000
2.03.06.01;Resultado nas operações com acionistas não controladores;-12400.0000000000;-127597.0000000000;-129360.0000000000;;;
2.03.06.02;Ganho (Perda) com benefícios pós-emprego;-73403.0000000000;-76798.0000000000;-131028.0000000000;;;
2.03.06.02;Perda com benefícios pós-emprego;;;-131028.0000000000;-92655.0000000000;-114113.0000000000;-82452.0000000000
2.03.06.03;Ajustes acumulados de conversão;6508604.0000000000;10702490.0000000000;11422357.0000000000;10302827.0000000000;9511427.0000000000;13021410.0000000000
2.03.06.04;Instrumentos Financeiros;-2382.0000000000;45445.0000000000;-3323.0000000000;17966.0000000000;52292.0000000000;-78702.0000000000
2.03.07;Ajustes Acumulados de Conversão;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.08;Outros Resultados Abrangentes;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.03.09;Participação dos Acionistas Não Controladores;390577.0000000000;585204.0000000000;597421.0000000000;1340091.0000000000;1223918.0000000000;1665702.0000000000
