CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.02.01.02;Títulos Designados a Valor Justo;1651820.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.02.01.02;Títulos Designados a Valor Justo;1581669.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;2666095.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;554.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.03;Contas a Receber;618384.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.03;Contas a Receber;1122446.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.03.01;Clientes;618384.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.03.01;Clientes;1122446.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.03.01.01;Contas a receber;602282.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.03.01.01;Contas a receber;1056782.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.03.01.02;Financiamento a clientes;0.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.03.01.02;Financiamento a clientes;44029.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.03.01.03;Contas a receber vinculadas;16102.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.03.01.03;Contas a receber vinculadas;21635.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.04;Estoques;5257749.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.04;Estoques;12833404.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.05;Ativos Biológicos;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.05;Ativos Biológicos;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.06;Tributos a Recuperar;625313.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.06;Tributos a Recuperar;852956.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.06.01;Tributos Correntes a Recuperar;625313.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.06.01;Tributos Correntes a Recuperar;852956.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.07;Despesas Antecipadas;73377.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.07;Despesas Antecipadas;161157.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.08;Outros Ativos Circulantes;22875025.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.08;Outros Ativos Circulantes;2941623.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.08.02;Ativos de Operações Descontinuadas;20857401.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.08.03;Outros;2017624.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.08.03;Outros;2941623.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.08.03.01;Outros ativos;149998.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.08.03.01;Outros ativos;497753.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.08.03.02;Instrumentos financeiros derivativos;5450.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.08.03.02;Instrumentos financeiros derivativos;43182.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.08.03.03;Depósitos em garantia;348.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.08.03.03;Depósitos em garantia;1068.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.08.03.04;Ativos de contrato;1861828.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.08.03.04;Ativos de contrato;2399620.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02;Ativo Não Circulante;8066002.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02;Ativo Não Circulante;22866799.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01;Ativo Realizável a Longo Prazo;371574.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01;Ativo Realizável a Longo Prazo;1565493.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;60153.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;268668.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.04;Contas a Receber;54977.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.04;Contas a Receber;161865.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.04.01;Clientes;0.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.04.01;Clientes;34.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.04.02;Outras Contas a Receber;0.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.04.02;Outras Contas a Receber;0.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.04.03;Financiamento a clientes;0.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.04.03;Financiamento a clientes;111408.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.04.04;Contas a receber vinculadas;54977.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.04.04;Contas a receber vinculadas;50423.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.05;Estoques;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.05;Estoques;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.06;Ativos Biológicos;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.06;Ativos Biológicos;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.07;Tributos Diferidos;2842.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.07;Tributos Diferidos;543468.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;2842.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;543468.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.08;Despesas Antecipadas;423.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.08;Despesas Antecipadas;28283.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.09;Créditos com Partes Relacionadas;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.09;Créditos com Partes Relacionadas;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.09.01;Créditos com Coligadas;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.09.01;Créditos com Coligadas;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.09.03;Créditos com Controladores;0.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.09.03;Créditos com Controladores;0.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.09.04;Créditos com Outras Partes Relacionadas;0.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.09.04;Créditos com Outras Partes Relacionadas;0.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.10;Outros Ativos Não Circulantes;253179.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.10;Outros Ativos Não Circulantes;563209.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.10.03;Tributos a recuperar;89781.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.10.03;Tributos a recuperar;249691.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.10.04;Outros ativos;158583.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.10.04;Outros ativos;299092.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.10.05;Depósitos em garantia;2009.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.10.05;Depósitos em garantia;7888.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.10.06;Instrumentos financeiros derivativos;2806.0000000000;N;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.10.06;Instrumentos financeiros derivativos;6538.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.02;Investimentos;32648.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.02;Investimentos;26918.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.02.01;Participações Societárias;32648.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.02.01;Participações Societárias;26918.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.02.01.01;Participações em Coligadas;32648.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.02.01.01;Participações em Coligadas;26918.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.02.01.04;Participações em Controladas em Conjunto;0.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.02.01.04;Participações em Controladas em Conjunto;0.0000000000;S;2020
