CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.06;Ajuste valor de mercado, inventário, imobilizado e intangível;9409.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.06;Ajuste valor de mercado, inventário, imobilizado e intangível;-114783.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.07;Ajuste valor de mercado - ativos financeiros;15152.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.07;Ajuste valor de mercado - ativos financeiros;-196566.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.08;Provisão (reversão) de perdas de crédito esperadas;169602.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.08;Provisão (reversão) de perdas de crédito esperadas;-68256.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.09;Imposto de Renda e Contribuição Social Diferidos;404449.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.09;Imposto de Renda e Contribuição Social Diferidos;220235.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.10;Juros sobre empréstimos;148603.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.10;Juros sobre empréstimos;124143.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.11;Equivalência Patrimonial;-12709.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.11;Equivalência Patrimonial;-5440.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.12;Remuneração em ações;0.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.12;Remuneração em ações;0.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.13;Variação monetária e cambial;397876.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.13;Variação monetária e cambial;-114081.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.14;Marcação a mercado das garantias de valor residual;-45983.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.14;Marcação a mercado das garantias de valor residual;-280668.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.15;Provisão para penalidades;0.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.15;Provisão para penalidades;0.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.16;Perda na alienação de ativo permanente;74476.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.16;Perda na alienação de ativo permanente;173487.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.17;Juros sobre títulos e valores mobiliários, líquidos;-1744.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.17;Juros sobre títulos e valores mobiliários, líquidos;-12886.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.18;Realização subsídios governamentais;-24551.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.18;Realização subsídios governamentais;-16356.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.19;Provisões Diversas;104734.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.19;Provisões Diversas;174058.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.20;Outros;-19059.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.20;Outros;-7203.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02;Variações nos Ativos e Passivos;-5730524.0000000000;S;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02;Variações nos Ativos e Passivos;2484961.0000000000;S;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.01;Investimentos financeiros;-2847841.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.01;Investimentos financeiros;-260436.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.02;Instrumentos financeiros derivativos;-15949.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.02;Instrumentos financeiros derivativos;27544.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.03;Contas a receber e contas a receber vinculadas;229625.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.03;Contas a receber e contas a receber vinculadas;82564.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.04;Financiamento a clientes;-268211.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.04;Financiamento a clientes;63319.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.05;Ativos de contrato;165929.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.05;Ativos de contrato;-626673.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.06;Estoques;140538.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.06;Estoques;2593611.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.07;Depósitos em Garantia;-3621.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.07;Depósitos em Garantia;21703.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.08;Outros ativos;-349756.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.08;Outros ativos;-202002.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.09;Fornecedores;-1558453.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.09;Fornecedores;-47947.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.10;Fornecedores - Risco sacado;0.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.10;Fornecedores - Risco sacado;80758.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.11;Dívida com e sem Direito de Regresso;-19626.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.11;Dívida com e sem Direito de Regresso;-21748.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.12;Contas a pagar;-196700.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.12;Contas a pagar;-203800.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.13;Contribuição de parceiros;0.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.13;Contribuição de parceiros;0.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.14;Adiantamentos de clientes;0.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.14;Adiantamentos de clientes;0.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.15;Impostos a recolher;-265435.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.15;Impostos a recolher;3643.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.16;Garantias Financeiras;-31585.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.16;Garantias Financeiras;-300868.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.17;Receitas Diferidas;-16243.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.17;Receitas Diferidas;76960.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.02.18;Passivos de Contrato;-693196.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.02.18;Passivos de Contrato;1198333.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.03;Outros;0.0000000000;S;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.03;Outros;0.0000000000;S;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02;Caixa Líquido Atividades de Investimento;-943297.0000000000;S;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02;Caixa Líquido Atividades de Investimento;-790111.0000000000;S;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.01;Aquisições de imobilizado;-523489.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.01;Aquisições de imobilizado;-549841.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.02;Baixa de imobilizado;59161.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.02;Baixa de imobilizado;19608.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.03;Adições ao intangível;-629062.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.03;Adições ao intangível;-906103.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.04;Adições investimentos em subsidiárias e coligadas;-9347.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.04;Adições investimentos em subsidiárias e coligadas;-3978.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.05;Aquisição de subsidiária líquido do caixa adquirido;-20891.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.05;Aquisição de subsidiária líquido do caixa adquirido;0.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.06;Investimentos Financeiros;177834.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.06;Investimentos Financeiros;664734.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.07;Caixa Restrito para Construção de Ativos;0.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.07;Caixa Restrito para Construção de Ativos;-1629.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.08;Alteração na participação em subsidiárias e coligadas;0.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.08;Alteração na participação em subsidiárias e coligadas;-21656.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.02.09;Dividendos Recebidos;2497.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.02.09;Dividendos Recebidos;8754.0000000000;N;2021
